Chr;length
1;274.33
2;151.94
3;132.85
4;130.91
5;104.53
6;170.84
7;121.84
8;138.97
9;139.51
10;69.36
11;79.17
12;61.6
13;208.34
14;141.76
15;140.41
16;79.94
17;63.49
18;55.98
