Chr;length
1;123.56
2;84.98
3;92.48
4;89.54
5;89.56
6;78.11
7;81.08
8;76.41
9;61.17
10;70.64
11;74.81
12;72.97
13;64.30
14;61.11
15;64.68
16;60.36
17;65.09
18;56.47
19;55.52
20;58.63
21;51.74
22;61.57
23;53.13
24;48.57
25;51.73
26;39.26
27;46.66
28;41.73
29;42.52
30;40.64
31;39.90
32;40.23
33;32.14
34;42.40
35;28.05
36;31.22
37;30.79
38;24.80
