Chr;length
1;239.37	
2;169.39
3;140.44
4;205.37
5;151.96
6;148.49
7;142.17
8;221.61
9;158.58	
10;115.37
11;88.08
12;94.44
13;95.15	
14;61.88
15;61.99
16;41.44
17;69.24
18;83.47
