Chr;length
1;157.40
2;136.51
3;120.04
4;120.73
5;119.02
6;117.64
7;108.43
8;112.67
9;91.57
10;101.09
11;106.23
12;87.28
13;83.03
14;94.67
15;81.90	
16;79.37
17;71.14
18;67.28
19;62.52	
20;71.78
21;69.43
22;60.28
23;48.87
24;62.31	
25;42.86
26;51.42
27;44.71
28;44.67	
29;51.32
